h3_id,events,fatalities,latitude,longitude
833f66fffffffff,944,23,38.1580043485812,26.4648351473641
835891fffffffff,48,11,6.1472838950441,2.67271515695609
835998fffffffff,473,851,11.1767345751854,-0.0610704943133484
83536efffffffff,1497,3,26.4119482932409,50.557042482566
838183fffffffff,1493,1283,-7.56053920202615,-34.9010431911911
83a90efffffffff,95,74,-29.4700273812885,-51.0222444613388
83a8e9fffffffff,4,5,-16.2218043685176,-53.5899704348449
83a855fffffffff,274,100,-19.9538720981177,-54.7368408165114
83a901fffffffff,294,170,-30.4203430898669,-51.0604393722019
83a80bfffffffff,36,24,-20.7388944911725,-51.7263719906128
83a81efffffffff,57,46,-22.0696054579241,-47.631543784758
83a8a0fffffffff,3543,1119,-23.2961145540865,-43.4635866691038
83a835fffffffff,92,64,-26.6779560028829,-48.8269054282439
838073fffffffff,60,57,-1.47521872391371,-47.0629466322158
83806afffffffff,242,256,-0.223164732502595,-51.0502998395458
838005fffffffff,278,205,-5.10034621808784,-43.0609072958014
83a895fffffffff,563,311,-20.6601024862827,-40.2488008908509
83585efffffffff,1758,3058,11.4505255128005,13.814126662765
8375a1fffffffff,14,1,7.36571421871346,-7.64294579955422
834432fffffffff,402,1,23.2276218034454,-82.7504772820609
8396eafffffffff,17,12,-6.790520212811,23.4501156875288
837adefffffffff,12,17,9.1319007361734,42.1214660801598
835299fffffffff,203,555,10.2342698745397,39.6824238430376
835282fffffffff,225,750,12.2243353073017,37.8675883894312
835285fffffffff,159,2,13.9507403631352,39.2717894857091
835896fffffffff,59,9,6.13799225467787,0.741418066002255
836d2bfffffffff,141,91,14.1334605230035,-91.5368443680887
8354eafffffffff,179,21,9.51464672759998,-13.2119620273351
834524fffffffff,80,37,14.2901193335548,-88.6297905071462
836725fffffffff,2549,4655,18.3224390621427,-72.0731285224925
832c9cfffffffff,239,39,30.8623939752099,48.3058685340872
832c9dfffffffff,376,1092,31.6120037009846,49.1508496967056
832cc2fffffffff,100,180,36.0428578580426,53.7255661325131
832cf3fffffffff,3092,12649,35.7661528301078,51.4205495379705
832d9dfffffffff,109,10,33.4787087696476,40.6269256857293
832ca6fffffffff,224,33,32.9957797486663,43.1669106900805
832c10fffffffff,1587,63,36.7454870852401,44.1161278312184
832c14fffffffff,800,57,37.0193857623043,42.8186589591306
832ca2fffffffff,469,45,32.7394954175073,44.4056630845282
832ca0fffffffff,692,93,33.810338225427,44.0244540836719
832db6fffffffff,12484,17701,31.4198480565833,34.1733371510577
832db0fffffffff,13075,382,32.3308958241917,34.9954410558007
836732fffffffff,402,284,17.6521580017774,-76.8175588970442
837a43fffffffff,45,24,1.36073146733172,37.1582607393954
837a6efffffffff,1096,185,-1.48970488474475,36.5339250710604
832da2fffffffff,716,169,34.3058884262694,35.3204882475875
832db1fffffffff,16541,3977,33.2306104868128,35.8286788597289
83a31efffffffff,2,1,-16.4892097635964,45.0537272800836
8397acfffffffff,13,7,-16.5281224180157,35.587716455296
8329a4fffffffff,1082,585,32.8261639605656,-117.235722064842
83481cfffffffff,64,36,26.190992425488,-106.972579609104
834812fffffffff,190,16,25.358178882153,-103.634429939143
834981fffffffff,530,341,20.4847422250053,-101.934960689216
83498cfffffffff,642,314,21.1629370007926,-102.950563397775
834986fffffffff,360,111,19.1220126289733,-99.94608321206
8349b3fffffffff,1093,622,18.4392161560395,-98.9733888391528
834994fffffffff,911,428,18.9002025320961,-97.8558960843835
834833fffffffff,553,239,23.1741548234678,-106.077623793162
83480afffffffff,153,122,27.4889150220481,-109.182401890198
836d24fffffffff,28,9,18.8209536571318,-92.6768766695309
836d20fffffffff,356,195,17.7025929504054,-92.8757055683499
835834fffffffff,45,116,15.8249975547917,2.88062664236431
835984fffffffff,110,507,14.6134616365211,-1.64322794043807
83bc89fffffffff,122,25,-26.4424991513525,32.7582847548024
83bcd6fffffffff,20,5,-25.4565220538796,32.161928184528
83581bfffffffff,230,238,10.5084930952154,7.80880933189861
8366a5fffffffff,294,6,9.07132322489829,-79.6976124083805
8352f4fffffffff,807,183,14.4315175183342,43.1843680100797
8352f1fffffffff,1792,894,13.3406577333644,44.5361224031114
8352f5fffffffff,2448,107,14.2979721423539,44.2222398187755
83521efffffffff,26,2,16.393737146786,42.5080237891387
83521bfffffffff,2363,366,15.2675041220627,43.9014739055223
8352f0fffffffff,1760,381,13.4682945441625,43.5116905379941
832db2fffffffff,4111,61,31.2535140399462,35.4981059096879
837a0bfffffffff,95,55,2.01778414433082,42.1325628521849
837af4fffffffff,128,77,4.56786724020299,44.7759823017973
837a1afffffffff,192,292,3.63635630797512,45.3116535209199
837a0dfffffffff,411,412,0.14945934269806,42.1354470792667
837a1efffffffff,585,1273,2.70017739722129,45.8487126063154
836a09fffffffff,46,75,6.39944835190337,30.0233137476531
836b6bfffffffff,213,310,14.471117386034,33.6899821594629
836b48fffffffff,17,36,12.5920067152479,33.4435361410874
